# minimum track hours: 48
# region_start: NH; lon 0--360, lat 0--90; region_end: NH; lon 0--360, lat 0--90
# total no. of tracks: 16530
Trk: 23
	np: 9
	44 120.258010864 63.3709182739 -457.809814453 100854.007812
Trk: 562
	np: 24
	25 234.098419189 14.3860702515 -1431.06103516 98808.0546875
	26 233.850997925 15.0156326294 -1183.63391113 99030.0078125
	27 232.890228271 15.765953064 -1032.46875 99743.5546875
	28 231.317138672 14.8069915771 -1116.80895996 99218.5546875
	29 231.317138672 14.8069915771 -1285.78845215 99148.484375
	30 231.740478516 15.3215026855 -1270.55285645 98941.84375
	31 231.754653931 15.3386764526 -1175.62731934 99367.2265625
	32 231.794708252 15.3871688843 -1154.8503418 99100.140625
	33 232.193740845 15.8686981201 -1214.84765625 99245.75
	34 232.193740845 15.8686981201 -1192.19934082 99043.7578125
	35 231.93661499 16.5004425049 -1045.82104492 99556.9375
	36 233.313720703 17.1626815796 -824.089355469 99641.578125
	37 233.991363525 17.9934082031 -1076.47729492 99402.828125
	38 235.035247803 18.6316223145 -995.862426758 99395.4609375
	39 236.319244385 18.8189620972 -1252.26745605 99091.9296875
	40 237.24281311 19.8649215698 -1088.39440918 99155.2734375
	41 239.101287842 20.109375 -1142.80993652 99289.40625
	42 240.573272705 21.316986084 -1021.59454346 99409.421875
	43 241.907104492 23.0012741089 -1240.31640625 99164.484375
	44 243.683227539 23.5812606812 -897.335693359 99574.0546875
	45 244.835601807 25.8439254761 -1018.50109863 99583.5234375
	46 247.423034668 27.5991783142 -876.590332031 99857.828125
	47 247.719177246 28.7043190002 -769.497314453 100207.976562
	48 245.833892822 32.1439590454 -395.176330566 100563.90625
Trk: 594
	np: 15
	26 64.6509552002 11.5388641357 -380.39932251 100183.765625
	27 63.9720916748 12.1867752075 -467.135253906 100324.523438
	28 62.6702156067 12.0367202759 -649.169372559 99852.484375
	29 62.3300933838 12.3193130493 -671.877990723 100030.703125
	30 61.3086738586 11.8359451294 -739.252807617 99549.4296875
	31 60.8539962769 12.3423690796 -803.714660645 99739.4765625
	32 60.4029273987 12.8421096802 -1000.62414551 99198.5
	33 60.4029273987 12.8421096802 -992.962341309 99433.671875
	34 60.402923584 12.8421096802 -912.170959473 99221.234375
	35 60.0984382629 13.15990448 -895.117370605 99595.6015625
	36 58.3524780273 14.2216567993 -910.023193359 99448.6328125
	37 58.3567085266 14.2331542969 -1055.44116211 99431.734375
	38 58.362991333 14.2502593994 -1035.734375 99022.078125
	39 58.3731536865 14.2779083252 -1149.87780762 99108.109375
	40 58.154384613 14.7290496826 -1130.08349609 99085.8359375
Trk: 624
	np: 15
	27 159.880935669 38.9721488953 -708.805541992 99756.9296875
	28 167.639480591 37.6096801758 -747.557434082 99659.515625
	29 172.848571777 37.0661888123 -762.652160645 99602.609375
	30 177.819473267 37.5249061584 -765.55065918 99652.546875
	31 180.756484985 38.0187988281 -788.400756836 99842.4453125
	32 186.590377808 40.3641319275 -962.480529785 99687.0234375
	33 189.772064209 42.1999511719 -1009.82305908 99730.9453125
	34 193.761306763 45.7774963379 -1042.42163086 99655.6171875
	35 197.647705078 49.3246116638 -1024.79138184 99649.625
	36 199.676086426 52.0503578186 -1242.8059082 99195.8359375
	37 202.008544922 54.7356376648 -1533.10742188 98814.015625
	38 203.604568481 58.0123634338 -1387.71472168 98622.8515625
	39 204.158187866 60.6070480347 -1427.92749023 98533.1328125
	40 205.041687012 62.857963562 -1117.0637207 98829.25
	41 207.478759766 65.8757324219 -677.178588867 99496.546875
Trk: 628
	np: 8
	28 323.196594238 45.3469963074 -369.568267822 100791.171875
	29 326.742401123 46.0483894348 -430.09362793 100448.898438
	30 332.808044434 47.5298843384 -476.414215088 100205.0
	31 343.196411133 52.8683433533 -455.429229736 99896.53125
	32 350.039764404 56.2187347412 -445.163330078 99779.7578125
	33 354.099731445 57.7647628784 -450.766448975 99678.5234375
	34 0.633076310158 60.1691741943 -386.136688232 99879.8671875
	35 16.2819023132 62.4373092651 -463.4168396 99979.40625
Trk: 642
	np: 10
	28 53.5658493042 25.9533691406 -316.437072754 101010.960938
	29 48.6380081177 29.2862968445 -344.034698486 101153.773438
	30 47.2942962646 30.0890617371 -345.216369629 100778.328125
	31 44.5658950806 32.3056297302 -431.324127197 100851.039062
	32 43.2848587036 33.5102272034 -439.11416626 100774.648438
	33 42.8925247192 33.8905677795 -398.688354492 101019.515625
	34 42.6658821106 34.8843574524 -365.87197876 100785.53125
	35 40.6574516296 35.8082275391 -432.816894531 100978.585938
	36 40.2331733704 36.1856269836 -371.294189453 101067.320312
	37 37.1669082642 43.7113838196 -267.401000977 101826.507812
Trk: 681
	np: 10
	30 225.592208862 57.4218635559 -741.052612305 101112.054688
	31 228.067214966 57.3148193359 -678.71307373 101271.9375
	32 235.750915527 52.2317123413 -548.297729492 101213.960938
	33 237.688995361 49.5519218445 -760.415222168 101047.765625
	34 240.950042725 46.1108093262 -920.702575684 100590.976562
	35 244.115509033 44.8223381042 -796.951293945 100556.804688
	36 245.782348633 39.6619606018 -769.173278809 100038.328125
	37 248.76133728 39.4761543274 -580.729370117 100624.125
	38 250.249343872 40.0183486938 -557.683837891 100671.242188
	39 251.974395752 39.8831672668 -313.194274902 101066.21875
Trk: 737
	np: 16
	33 258.331115723 33.07862854 -360.957550049 100557.234375
	34 260.370727539 34.8325195312 -534.675964355 100370.40625
	35 263.470336914 38.4451179504 -712.863342285 100330.859375
	36 265.286743164 41.2847061157 -895.253356934 100241.539062
	37 265.963653564 42.7820053101 -1068.07580566 100231.554688
	38 268.360656738 43.8563804626 -1129.66540527 100153.40625
	39 268.330383301 44.9834060669 -1159.91174316 99943.984375
	40 271.682678223 45.6321678162 -1168.54101562 99855.7890625
